movie,rt_critic,rt_audience
The Girlfriend Experience,,
Furry Vengeance,7,32
Never Rarely Sometimes Always,99,46
Swept Away,5,28
Navy Seals,19,42
Ibiza,67,39
Daddy Day Camp,1,38
Little Voice,79,74
Mine,17,45
Queen of Katwe,94,87
The Quiet,22,51
The Last Exorcism: God Asks. The Devil Commands,15,26
Wyrmwood,81,58
"For a Good Time, Call...",57,53
Kursk,69,57
Wrecked,,
Postcards from the Edge,84,66
Good People,12,22
Renaissance,49,59
Solitary Man,78,50
The Tale,99,82
Lazzaro felice,91,81
The Rage: Carrie 2,22,33
Brigsby Bear,82,86
Curious George,70,69
Vice,4,15
The Madness of King George,93,80
Rememory,25,42
Sleepover,15,54
Beyond the Lights,83,75
Judgment Night,35,54
Freedomland,23,25
Wakefield,72,52
Jingle Jangle: A Christmas Journey,89,72
Swing Kids,56,79
Tales from the Darkside: The Movie,43,44
The Man in the Moon,90,85
The Hallow,70,43
Monster Trucks,32,51
American Pastoral,23,30
Hell Ride,10,30
Gods and Generals,8,64
The Dish,96,81
College Road Trip,12,50
When the Game Stands Tall,20,72
Nomis,14,51
Affliction,88,72
The Joy Luck Club,87,89
You Should Have Left,41,24
Fehér isten,88,71
A Better Life,85,79
Fur: An Imaginary Portrait of Diane Arbus,32,63
The Distinguished Gentleman,13,36
L'écume des jours,61,53
Infinitely Polar Bear,82,71
Thunder Road,96,92
Bottle Shock,48,58
Intermission,73,75
Parkland,50,47
A Dog's Way Home,59,71
Oh Boy,77,74
Hands of Stone,45,52
An Ideal Husband,85,69
Samba,62,54
The Door in the Floor,67,64
Summer Catch,8,40
Party Monster,29,75
Alex Strangelove,80,70
Collide,24,35
Mrs. Henderson Presents,67,72
The Jungle Book 2,18,30
What's the Worst That Could Happen?,10,35
Are You Here,8,22
V/H/S Viral,34,13
Saving Christmas,0,30
Jakob the Liar,29,63
Misconduct,7,22
Freejack,18,26
Café de Flore,64,76
Sandy Wexler,27,39
The Trip to Italy,87,57
The Best Man Holiday,70,83
I.T.,9,25
Detention,41,46
Ashby,52,48
The Darkness,100,
The Human Centipede III (Final Sequence),17,10
Hangman,4,30
Resolution,80,65
Reversal of Fortune,92,78
D.E.B.S.,41,55
A Dark Song,92,60
The Brass Teapot,31,51
The Deep Blue Sea,80,52
